Team,Team Boss,Car,Engine
Red Bull Racing,,,
Mercedes F1,,,
Scuderia Ferrari,,,
Willians,,,
Alpine,,,
McLaren,,,
Alfa Romeo,,,
Haas,,,
Aston Martin,,,
Alpha Tauri,,,
,Christian Horner,RB19,Honda 1.6 V6 Turbo
,Toto Wolf,W14,Mercedes 1.6 V6 turbo
,Simone Resta,SF-23,Ferrari 1.6 V6 turbo
,Frank Williams,FW45,Mercedes 1.6 V6 turbo
,Cyril Abiteboul,A523 alpino,turbo Renault 1.6 V6
,Andreas Seidl,MCL60,Mercedes 1.6 V6 turbo
,Frédéric Vasseur,Racing C43,Ferrari 1.6 V6 turbo
,Guenther Steiner,VF-23,Ferrari 1.6 V6 motor turbo
,Otmar Szafnauer,AMR23,Mercedes 1.6 V6 turbo
,Franz Tost,AT04,Honda 1.6 V6 Turbo
